key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
KM,2020-01-11,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,25.444444,24.0,31.305556,39.751,,24.0,80.471135
KM,2020-01-12,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,26.0,16.25,32.0,4.953,,23.777778,79.661525
KM,2020-01-13,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,26.666667,25.0,31.5,12.954,,24.555556,88.846246
KM,2020-01-14,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,26.694444,25.0,32.0,13.462,,24.333333,78.205124
KM,2020-01-15,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,27.138889,24.0,32.25,10.033,,24.666667,86.803911
KM,2020-01-16,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,26.777778,25.0,32.055556,8.001,,25.083333,90.763282
KM,2020-01-17,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,27.333333,25.361111,30.861111,18.034,,25.111111,87.696455
KM,2020-01-18,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,26.972222,26.611111,31.555556,1.524,,25.333333,78.851015
KM,2020-01-19,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,26.5,25.0,31.25,42.037,,25.777778,86.344196
KM,2020-01-20,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,29.666667,27.75,31.611111,9.017,,25.722222,79.424272
KM,2020-01-21,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,29.583333,28.111111,31.75,0.0,,25.916667,80.737173
KM,2020-01-22,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,24.027778,15.361111,30.944444,102.489,,25.0,93.308616
KM,2020-01-23,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,26.555556,24.75,29.5,91.059,,24.694444,89.592478
KM,2020-01-24,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,24.777778,23.5,30.25,67.564,,24.333333,95.144056
KM,2020-01-25,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,25.833333,23.611111,31.611111,6.985,,23.777778,85.032142
KM,2020-01-26,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,27.083333,23.611111,30.944444,18.542,,24.611111,86.835112
KM,2020-01-27,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,28.833333,24.861111,32.0,7.493,,24.527778,77.821996
KM,2020-01-28,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,29.138889,24.611111,32.0,0.0,,25.25,79.781758
KM,2020-01-29,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,26.805556,17.0,32.111111,1.016,,24.555556,78.236804
KM,2020-01-30,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,28.055556,24.5,31.555556,8.763,,25.25,84.816211
KM,2020-01-31,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,26.388889,25.0,31.305556,5.08,,25.055556,92.650443
KM,2020-02-01,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,28.361111,24.222222,32.694444,3.683,,24.694444,80.951177
KM,2020-02-02,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,27.305556,24.777778,31.611111,9.525,,24.777778,86.219268
KM,2020-02-03,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,27.861111,25.5,31.111111,20.955,,24.888889,83.928527
KM,2020-02-04,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,28.25,24.0,31.25,30.861,,24.805556,81.709896
KM,2020-02-05,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,26.472222,24.0,32.111111,0.0,,23.722222,76.367269
KM,2020-02-06,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,27.916667,24.0,32.444444,5.08,,24.694444,82.774034
KM,2020-02-07,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,28.027778,24.5,32.555556,2.032,,24.527778,81.789119
KM,2020-02-08,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,27.861111,25.0,31.805556,0.254,,25.027778,85.384305
KM,2020-02-09,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,29.083333,24.75,32.75,0.127,,24.833333,78.011704
KM,2020-02-10,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,28.694444,24.944444,32.694444,3.048,,24.944444,80.365294
KM,2020-02-11,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,29.361111,24.444444,32.138889,0.0,,24.75,76.342385
KM,2020-02-12,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,26.833333,24.5,32.5,1.016,,24.055556,74.475061
KM,2020-02-13,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,25.222222,16.0,32.0,9.525,,24.444444,79.751118
KM,2020-02-14,,Q970,country/COM,KM,Comoros,,,,,,,KM,COM,0,0,0,,,0,0,,,,,,,,,,,,869595,438653,430941,602734,248152,,,467273.0,0.503,237638,191268,150845,117377,77036,50892,29656,11659,2648,662,3224,1185728676,1393,0.409,535790,-12.23333,44.44553,,1861,1478,196,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342,,,,,,,,,,,,,,,,,,,,,,,,0,0,,67005099999,110.784692,24.305556,15.5,31.194444,2.032,,23.333333,83.056318
