key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
SK,2020-01-01,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-4.172222,-7.45,-0.622222,7.9756,473.71,-8.833333,70.120825
SK,2020-01-02,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-2.205556,-7.1,3.027778,2.0066,458.7875,-13.838889,48.465625
SK,2020-01-03,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-2.088889,-5.883333,1.516667,4.9784,448.945,-10.716667,57.896477
SK,2020-01-04,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-3.616667,-7.094444,0.35,4.4704,690.372,-5.3,88.239522
SK,2020-01-05,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-6.872222,-9.533333,-4.3,8.6106,666.75,-10.322222,77.191766
SK,2020-01-06,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-7.805556,-12.077778,-2.772222,4.2672,573.7225,-11.694444,73.963318
SK,2020-01-07,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-6.233333,-10.25,-1.35,12.0142,556.5775,-12.077778,66.236039
SK,2020-01-08,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-3.661111,-9.377778,1.022222,3.9878,542.6075,-8.911111,69.75263
SK,2020-01-09,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-0.488889,-4.111111,0.905556,1.636889,753.872,-1.083333,95.750515
SK,2020-01-10,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-0.605556,-3.672222,2.633333,1.143,492.76,-3.827778,79.710779
SK,2020-01-11,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-2.294444,-5.294444,0.822222,3.0988,534.488571,-4.016667,88.133448
SK,2020-01-12,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-1.205556,-6.488889,2.677778,2.5908,527.594286,-10.455556,60.50846
SK,2020-01-13,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-2.133333,-4.572222,0.833333,2.0066,686.308,-7.4,73.294242
SK,2020-01-14,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-2.366667,-5.272222,0.905556,0.9906,513.08,-8.694444,70.800648
SK,2020-01-15,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-1.305556,-5.316667,2.944444,0.9906,500.38,-9.844444,62.304384
SK,2020-01-16,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-0.488889,-4.405556,3.705556,0.9906,488.768571,-6.072222,71.912916
SK,2020-01-17,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-1.1,-5.205556,2.488889,0.9906,481.874286,-8.122222,67.865855
SK,2020-01-18,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-2.272222,-6.088889,1.833333,0.9906,553.72,-8.238889,66.175012
SK,2020-01-19,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-4.305556,-7.05,-2.327778,0.197556,546.946667,-6.088889,87.774203
SK,2020-01-20,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-3.327778,-7.316667,-0.022222,0.6604,473.528571,-8.422222,73.459594
SK,2020-01-21,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-2.827778,-6.522222,1.744444,0.0,466.271429,-12.266667,58.427273
SK,2020-01-22,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-3.755556,-8.288889,1.088889,0.0,533.823333,-10.038889,65.439926
SK,2020-01-23,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-4.361111,-9.027778,1.322222,0.5334,533.823333,-11.411111,60.558811
SK,2020-01-24,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-2.322222,-7.0,2.677778,0.0,527.05,-13.816667,50.954256
SK,2020-01-25,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-3.072222,-6.516667,1.994444,0.0,508.423333,-11.038889,59.959741
SK,2020-01-26,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,11933099999,14.351299,-3.277778,-6.716667,1.133333,0.0,496.993333,-9.061111,67.907605
SK,2020-01-27,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2.78,11933099999,14.351299,-2.438889,-5.983333,2.677778,0.0,488.95,-5.916667,77.991397
SK,2020-01-28,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2.78,11933099999,14.351299,-3.133333,-6.35,-1.022222,0.6604,561.848,-4.705556,89.135002
SK,2020-01-29,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2.78,11933099999,14.351299,-4.516667,-6.205556,-2.077778,3.302,408.94,-7.433333,80.621163
SK,2020-01-30,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2.78,11933099999,14.351299,-3.144444,-5.683333,-0.5,2.2352,596.392,-5.911111,81.879153
SK,2020-01-31,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2.78,11933099999,14.351299,0.833333,-3.411111,3.777778,1.27,518.583333,-1.277778,86.291791
SK,2020-02-01,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2.78,11933099999,14.351299,3.533333,-0.188889,6.155556,4.953,556.683333,1.005556,83.9487
SK,2020-02-02,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2.78,11933099999,14.351299,1.872222,-0.983333,4.688889,2.9464,757.555,-0.277778,86.260704
SK,2020-02-03,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2.78,11933099999,14.351299,1.044444,-0.716667,3.983333,9.7536,524.691429,-0.455556,90.091745
SK,2020-02-04,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2.78,11933099999,14.351299,-1.588889,-3.883333,0.944444,9.6774,531.1775,-3.038889,90.09357
SK,2020-02-05,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2.78,11933099999,14.351299,-5.544444,-9.283333,-2.927778,20.193,826.77,-10.327778,71.322409
SK,2020-02-06,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2.78,11933099999,14.351299,-6.15,-10.811111,-3.377778,7.4422,1062.228,-9.427778,78.87386
SK,2020-02-07,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,0,0,0,0,2.78,11933099999,14.351299,-4.672222,-9.655556,-1.238889,3.3528,1103.884,-7.183333,83.392837
SK,2020-02-08,ChIJf8Z8rrlgFEcRfTpysWdha80,Q214,country/SVK,SK,Slovakia,,,,,,,SK,SVK,0,0,0,,,0,0,,,,,,,,,,,,5450421,2661077,2789344,2523654,2930419,432508,,111.8,0.844,584354,538465,682622,862769,834209,708297,685186,375006,146384,36596,179513,105870732800,19470,0.694,14296,49.0,20.0,,49030,,,77.4,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.136353,221.963882,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,0,0,0,0,2.78,11933099999,14.351299,-4.45,-11.283333,1.238889,1.9812,881.38,-9.005556,72.123975
