key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
AR,2020-01-01,ChIJZ8b99fXKvJURqA_wKpl3Lz0,Q414,country/ARG,AR,Argentina,,,,,,,AR,ARG,0,3,0,,4,3,0,,4,,,,,,,,,,44938712,19523766,20593330,3599141,41339571,15057273,19280518,16515.0,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,1031699,257924,994030,449663446954,10006,0.611,286393,-34.0,-64.0,,2780400,2690269,55032,76.52,21.8,5.9,8.8,147.086,79.483,26.6,15.8,,2.5996,3.9901,1324.603516,198.935944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,87534099999,60.672957,23.5,18.034722,33.347222,0.0,,16.006944,64.426444
AR,2020-01-02,ChIJZ8b99fXKvJURqA_wKpl3Lz0,Q414,country/ARG,AR,Argentina,,,,,,,AR,ARG,0,13,0,,37,16,0,,41,,,,,,,,,,44938712,19523766,20593330,3599141,41339571,15057273,19280518,16515.0,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,1031699,257924,994030,449663446954,10006,0.611,286393,-34.0,-64.0,,2780400,2690269,55032,76.52,21.8,5.9,8.8,147.086,79.483,26.6,15.8,,2.5996,3.9901,1324.603516,198.935944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,87534099999,60.672957,23.6875,17.194444,29.819444,0.0,,16.645833,65.073967
AR,2020-01-03,ChIJZ8b99fXKvJURqA_wKpl3Lz0,Q414,country/ARG,AR,Argentina,,,,,,,AR,ARG,0,0,0,,4,16,0,,45,,,,,,,,,,44938712,19523766,20593330,3599141,41339571,15057273,19280518,16515.0,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,1031699,257924,994030,449663446954,10006,0.611,286393,-34.0,-64.0,,2780400,2690269,55032,76.52,21.8,5.9,8.8,147.086,79.483,26.6,15.8,,2.5996,3.9901,1324.603516,198.935944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,87534099999,60.672957,25.194444,17.75,31.506944,0.0,,16.666667,59.669389
AR,2020-01-04,ChIJZ8b99fXKvJURqA_wKpl3Lz0,Q414,country/ARG,AR,Argentina,,,,,,,AR,ARG,0,7,0,,15,23,0,,60,,,,,,,,,,44938712,19523766,20593330,3599141,41339571,15057273,19280518,16515.0,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,1031699,257924,994030,449663446954,10006,0.611,286393,-34.0,-64.0,,2780400,2690269,55032,76.52,21.8,5.9,8.8,147.086,79.483,26.6,15.8,,2.5996,3.9901,1324.603516,198.935944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,87534099999,60.672957,26.305556,17.895833,33.229167,0.0,,15.881944,53.485178
AR,2020-01-05,ChIJZ8b99fXKvJURqA_wKpl3Lz0,Q414,country/ARG,AR,Argentina,,,,,,,AR,ARG,0,4,0,,8,27,0,,68,,,,,,,,,,44938712,19523766,20593330,3599141,41339571,15057273,19280518,16515.0,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,1031699,257924,994030,449663446954,10006,0.611,286393,-34.0,-64.0,,2780400,2690269,55032,76.52,21.8,5.9,8.8,147.086,79.483,26.6,15.8,,2.5996,3.9901,1324.603516,198.935944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,87534099999,60.672957,25.888889,18.0625,33.923611,2.1844,,16.152778,57.126165
AR,2020-01-06,ChIJZ8b99fXKvJURqA_wKpl3Lz0,Q414,country/ARG,AR,Argentina,,,,,,,AR,ARG,0,8,0,,52,35,0,,120,,,,,,,,,,44938712,19523766,20593330,3599141,41339571,15057273,19280518,16515.0,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,1031699,257924,994030,449663446954,10006,0.611,286393,-34.0,-64.0,,2780400,2690269,55032,76.52,21.8,5.9,8.8,147.086,79.483,26.6,15.8,,2.5996,3.9901,1324.603516,198.935944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,87534099999,60.672957,20.666667,13.826389,33.034722,16.383,,9.451389,50.019322
AR,2020-01-07,ChIJZ8b99fXKvJURqA_wKpl3Lz0,Q414,country/ARG,AR,Argentina,,,,,,,AR,ARG,0,3,0,,27,38,0,,147,,,,,,,,,,44938712,19523766,20593330,3599141,41339571,15057273,19280518,16515.0,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,1031699,257924,994030,449663446954,10006,0.611,286393,-34.0,-64.0,,2780400,2690269,55032,76.52,21.8,5.9,8.8,147.086,79.483,26.6,15.8,,2.5996,3.9901,1324.603516,198.935944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,87534099999,60.672957,22.847222,12.583333,31.118056,0.0,,10.270833,45.904142
AR,2020-01-08,ChIJZ8b99fXKvJURqA_wKpl3Lz0,Q414,country/ARG,AR,Argentina,,,,,,,AR,ARG,0,3,0,,4,41,0,,151,,,,,,,,,,44938712,19523766,20593330,3599141,41339571,15057273,19280518,16515.0,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,1031699,257924,994030,449663446954,10006,0.611,286393,-34.0,-64.0,,2780400,2690269,55032,76.52,21.8,5.9,8.8,147.086,79.483,26.6,15.8,,2.5996,3.9901,1324.603516,198.935944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,87534099999,60.672957,27.090278,18.333333,34.534722,0.0,,13.513889,44.23177
AR,2020-01-09,ChIJZ8b99fXKvJURqA_wKpl3Lz0,Q414,country/ARG,AR,Argentina,,,,,,,AR,ARG,0,0,0,,1,41,0,,152,,,,,,,,,,44938712,19523766,20593330,3599141,41339571,15057273,19280518,16515.0,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,1031699,257924,994030,449663446954,10006,0.611,286393,-34.0,-64.0,,2780400,2690269,55032,76.52,21.8,5.9,8.8,147.086,79.483,26.6,15.8,,2.5996,3.9901,1324.603516,198.935944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,87534099999,60.672957,24.145833,19.013889,35.284722,8.255,,15.75,60.604603
AR,2020-01-10,ChIJZ8b99fXKvJURqA_wKpl3Lz0,Q414,country/ARG,AR,Argentina,,,,,,,AR,ARG,0,0,0,,76,41,0,,228,,,,,,,,,,44938712,19523766,20593330,3599141,41339571,15057273,19280518,16515.0,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,1031699,257924,994030,449663446954,10006,0.611,286393,-34.0,-64.0,,2780400,2690269,55032,76.52,21.8,5.9,8.8,147.086,79.483,26.6,15.8,,2.5996,3.9901,1324.603516,198.935944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,87534099999,60.672957,23.743056,18.013889,29.513889,4.318,,16.347222,64.292409
