key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
GW,2020-01-01,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,,,,,,,GW,GNB,0,0,0,,,0,0,,,,,,,,,,,,1967997,962695,1005303,1080000,840922,578829,,69986.0,0.455,582349,450029,342384,254506,156575,92188,60416,24637,3653,913,4914,1340389410,697,,192776,12.0,-15.0,,36130,33629,306,58.003,,2.4,54.0,373.99,301.21,214.7,20.0,,0.6851,0.1274,52.359409,37.730824,,,,,,,,,,,,,,,,,,,,,,,,,,,61766099999,72.120412,25.314815,16.666667,34.333333,0.0,,9.648148,37.565772
GW,2020-01-02,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,,,,,,,GW,GNB,0,0,0,,,0,0,,,,,,,,,,,,1967997,962695,1005303,1080000,840922,578829,,69986.0,0.455,582349,450029,342384,254506,156575,92188,60416,24637,3653,913,4914,1340389410,697,,192776,12.0,-15.0,,36130,33629,306,58.003,,2.4,54.0,373.99,301.21,214.7,20.0,,0.6851,0.1274,52.359409,37.730824,,,,,,,,,,,,,,,,,,,,,,,,,,,61781099999,41.54582,25.842593,17.361111,32.703704,0.0,,8.611111,35.047751
GW,2020-01-03,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,,,,,,,GW,GNB,0,0,0,,,0,0,,,,,,,,,,,,1967997,962695,1005303,1080000,840922,578829,,69986.0,0.455,582349,450029,342384,254506,156575,92188,60416,24637,3653,913,4914,1340389410,697,,192776,12.0,-15.0,,36130,33629,306,58.003,,2.4,54.0,373.99,301.21,214.7,20.0,,0.6851,0.1274,52.359409,37.730824,,,,,,,,,,,,,,,,,,,,,,,,,,,61766099999,72.120412,23.203704,16.666667,33.074074,0.0,,9.444444,41.769535
GW,2020-01-04,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,,,,,,,GW,GNB,0,0,0,,,0,0,,,,,,,,,,,,1967997,962695,1005303,1080000,840922,578829,,69986.0,0.455,582349,450029,342384,254506,156575,92188,60416,24637,3653,913,4914,1340389410,697,,192776,12.0,-15.0,,36130,33629,306,58.003,,2.4,54.0,373.99,301.21,214.7,20.0,,0.6851,0.1274,52.359409,37.730824,,,,,,,,,,,,,,,,,,,,,,,,,,,61766099999,72.120412,25.351852,19.259259,32.666667,0.0,,9.12963,36.117192
GW,2020-01-05,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,,,,,,,GW,GNB,0,0,0,,,0,0,,,,,,,,,,,,1967997,962695,1005303,1080000,840922,578829,,69986.0,0.455,582349,450029,342384,254506,156575,92188,60416,24637,3653,913,4914,1340389410,697,,192776,12.0,-15.0,,36130,33629,306,58.003,,2.4,54.0,373.99,301.21,214.7,20.0,,0.6851,0.1274,52.359409,37.730824,,,,,,,,,,,,,,,,,,,,,,,,,,,61766099999,72.120412,24.074074,15.203704,32.333333,0.0,,7.222222,34.082221
GW,2020-01-06,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,,,,,,,GW,GNB,0,0,0,,,0,0,,,,,,,,,,,,1967997,962695,1005303,1080000,840922,578829,,69986.0,0.455,582349,450029,342384,254506,156575,92188,60416,24637,3653,913,4914,1340389410,697,,192776,12.0,-15.0,,36130,33629,306,58.003,,2.4,54.0,373.99,301.21,214.7,20.0,,0.6851,0.1274,52.359409,37.730824,,,,,,,,,,,,,,,,,,,,,,,,,,,61766099999,72.120412,23.148148,14.0,31.666667,0.0,,5.981481,33.037765
GW,2020-01-07,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,,,,,,,GW,GNB,0,0,0,,,0,0,,,,,,,,,,,,1967997,962695,1005303,1080000,840922,578829,,69986.0,0.455,582349,450029,342384,254506,156575,92188,60416,24637,3653,913,4914,1340389410,697,,192776,12.0,-15.0,,36130,33629,306,58.003,,2.4,54.0,373.99,301.21,214.7,20.0,,0.6851,0.1274,52.359409,37.730824,,,,,,,,,,,,,,,,,,,,,,,,,,,61766099999,72.120412,22.425926,14.925926,30.666667,0.0,,5.648148,34.143601
GW,2020-01-08,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,,,,,,,GW,GNB,0,0,0,,,0,0,,,,,,,,,,,,1967997,962695,1005303,1080000,840922,578829,,69986.0,0.455,582349,450029,342384,254506,156575,92188,60416,24637,3653,913,4914,1340389410,697,,192776,12.0,-15.0,,36130,33629,306,58.003,,2.4,54.0,373.99,301.21,214.7,20.0,,0.6851,0.1274,52.359409,37.730824,,,,,,,,,,,,,,,,,,,,,,,,,,,61781099999,41.54582,24.288889,15.0,31.6,0.0,,7.722222,35.998769
GW,2020-01-09,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,,,,,,,GW,GNB,0,0,0,,,0,0,,,,,,,,,,,,1967997,962695,1005303,1080000,840922,578829,,69986.0,0.455,582349,450029,342384,254506,156575,92188,60416,24637,3653,913,4914,1340389410,697,,192776,12.0,-15.0,,36130,33629,306,58.003,,2.4,54.0,373.99,301.21,214.7,20.0,,0.6851,0.1274,52.359409,37.730824,,,,,,,,,,,,,,,,,,,,,,,,,,,61766099999,72.120412,24.685185,15.333333,33.0,0.0,,7.333333,33.060147
GW,2020-01-10,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,,,,,,,GW,GNB,0,0,0,,,0,0,,,,,,,,,,,,1967997,962695,1005303,1080000,840922,578829,,69986.0,0.455,582349,450029,342384,254506,156575,92188,60416,24637,3653,913,4914,1340389410,697,,192776,12.0,-15.0,,36130,33629,306,58.003,,2.4,54.0,373.99,301.21,214.7,20.0,,0.6851,0.1274,52.359409,37.730824,,,,,,,,,,,,,,,,,,,,,,,,,,,61766099999,72.120412,23.166667,15.75,29.25,0.0,,6.194444,35.39176
