key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
LI,2020-01-01,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,-0.814815,-3.018519,2.006173,0.0,,-5.098765,81.001749
LI,2020-01-02,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,-2.024691,-3.783951,0.882716,0.0,,-4.691358,84.358672
LI,2020-01-03,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,0.518519,-3.975309,4.5,0.0,,-2.530864,80.971499
LI,2020-01-04,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,2.166667,-0.728395,4.067901,3.951111,,0.740741,90.485167
LI,2020-01-05,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,0.17284,-2.703704,3.845679,2.032,,-4.185185,75.397054
LI,2020-01-06,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,0.549383,-2.901235,5.049383,0.0,,-5.598765,65.688054
LI,2020-01-07,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,0.339506,-3.092593,4.04321,0.028222,,-3.216049,77.576919
LI,2020-01-08,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,2.277778,-2.185185,7.111111,0.310444,,-5.598765,58.651499
LI,2020-01-09,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,3.339506,-0.191358,8.314815,0.0,,-3.592593,62.287647
LI,2020-01-10,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,2.95679,-1.450617,7.790123,0.0,,-2.407407,68.579463
LI,2020-01-11,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,1.95679,-1.41358,6.302469,1.016,,-2.12963,77.306175
LI,2020-01-12,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,0.191358,-3.462963,5.376543,0.028222,,-7.395062,63.71635
LI,2020-01-13,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,0.296296,-3.12963,4.432099,0.0,,-6.580247,61.680658
LI,2020-01-14,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,2.135802,-2.179012,6.95679,0.0,,-6.839506,54.662936
LI,2020-01-15,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,2.814815,-1.388889,9.018519,0.0,,-4.41358,60.363327
LI,2020-01-16,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,3.17284,-0.765432,8.314815,0.0,,-3.283951,63.551871
LI,2020-01-17,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,2.222222,-2.469136,7.728395,0.0,,-3.012346,68.976202
LI,2020-01-18,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,0.734568,-1.635802,3.623457,8.89,,-0.944444,88.84963
LI,2020-01-19,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,-1.487654,-3.574074,0.82716,1.778,,-3.524691,86.320311
LI,2020-01-20,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,-3.450617,-6.388889,0.87037,0.254,,-9.0,66.451052
LI,2020-01-21,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,-1.617284,-5.882716,2.598765,1.128889,1144.27,-7.148148,68.828355
LI,2020-01-22,ChIJ_S9HHUQxm0cRibFa3Ta16mA,Q347,country/LIE,LI,Liechtenstein,,,,,,,LI,LIE,0,0,0,,,0,0,,,,,,,,,,,,38378,19025,19353,32555,5464,,,242.1,0.908,3737,3891,4539,4888,5571,6339,4694,3263,1309,327,1456,6552858738,173356,,1155955,47.145,9.553889,,160,,,83.1,,9.4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,0.0,06990099999,3.093798,-1.382716,-4.024691,1.561728,0.0,1123.95,-5.154321,80.534375
